nama_product,brand,shop_id,shop_city,isOfficial,isVerified,price,terjualCount,ratingAverage,viewCount,likedCount,jenis
makarizo advisor hair recovery vitamax 50 ml - vitamin rambut / serum rambut / hair vitamin,Makarizo,18102367,KOTA JAKARTA TIMUR,True,False,40800,76123,4.89,60329,27423,Serum
serum gold bpom hanasui jaya mandiri / original,Hanasui,29636199,KOTA TANGERANG,False,True,15637,75762,4.83,1455,3605,Serum
acne lotion / lotion jerawat larissa obat jerawat larissa,Larissa,5831720,KAB. SLEMAN,False,False,31000,74882,4.89,26410,24659,Serum
hanasui serum whitening gold/ vitamin c + collagen/ anti acne/ men bright rich propolis intense,Hanasui,9664631,KOTA JAKARTA SELATAN,False,True,11600,74379,4.9,28403,7401,Serum
hanasui serum whitening gold/ vitamin c + collagen/ anti acne/ men bright rich propolis intense,Hanasui,9664631,KOTA JAKARTA SELATAN,False,True,11600,74379,4.9,28403,7401,Serum
scarlett whitening body lotion shower scrub facial wash serum cream by felicya angelista free gift,Scarlett,11868573,KOTA JAKARTA BARAT,False,True,55000,73856,4.89,20595,10254,Serum
loreal paris elseve extraordinary oil gold hair treatment serum - 100 ml,L'Oreal Paris,62579622,KOTA JAKARTA UTARA,True,False,142300,72571,4.91,60546,44080,Serum
fair n pink body serum / lotion pemutih tubuh fnp 160ml,Fair N Pink,23831802,KOTA BOGOR,True,False,127500,71955,4.71,2655,28806,Serum
hanasui serum series  vit c + collagen  serum anti acne  serum vitamin c  whitening gold ailin,Hanasui,4923979,KOTA BOGOR,False,True,12900,67894,4.81,9931,3746,Serum
✨ aku murah ✨hanasui serum anti acne hanasui by jaya mandiri / original 100%,Hanasui,136341375,KOTA JAKARTA BARAT,False,True,12500,67782,4.88,3695,4930,Serum
silkoro serum vitamin rambut 80ml kecil,Others,8119034,KOTA SURABAYA,False,True,15500,65647,4.86,7869,4724,Serum
scarlett whitening gratis dus+bubble serum cream original bpom paket hand body lotion lulur scrub,Scarlett,138907429,KOTA SURABAYA,False,False,55000,64894,4.87,158224,11554,Serum
buy you golden age refining serum 20ml free golden age essence 15 ml  berlaku mulai juni 2021,Y.O.U,72375863,KOTA TANGERANG,True,False,109650,61738,4.89,36769,19839,Serum
nivea sun face protection serum spf 50+ pa +++ - instant aura 30ml,Nivea,39283823,KAB. DELI SERDANG,True,False,42000,61151,4.93,103604,38339,Serum
somethinc aha bha pha peeling solution 20ml,Somethinc,195455930,KOTA JAKARTA BARAT,True,False,115500,59176,4.91,164403,61446,Serum
ertos serum kinclong / ertos serum cream muka,Erto's,23831802,KOTA BOGOR,True,False,90000,59113,4.8,6531,25632,Serum
scarlett whitening serum ready official paket hand body lotion scrub lulur scarlet by felicya,Scarlett,98000499,KOTA KEDIRI,False,True,55000,57520,4.87,65094,15348,Serum
scarlett whitening serum ready official paket hand body lotion scrub lulur scarlet by felicya,Scarlett,98000499,KOTA KEDIRI,False,True,55000,57520,4.87,65094,15348,Serum
scarlett whitening serum brightly ever after / scarlet serum acne  scarlett original felicya bpom,Scarlett,186866,KOTA JAKARTA UTARA,False,True,55000,57255,4.85,41051,5407,Serum
serum scarlet whitening serum acne  brightly ever  scarlett whitening,Scarlett,11064175,KAB. TANGERANG,False,False,9000,56666,4.87,3167,12710,Serum
serum aish korea  aish serum korea bpom  aish serum aish original acne brightening darkspot bpom,Aish,299203404,KOTA JAKARTA SELATAN,False,True,119000,55916,4.74,25386,8217,Serum
vaseline healthy bright hand body lotion spf 30 serum kulit 180 ml - serum badanserum glow,Vaseline,14318452,KOTA BEKASI,True,False,36700,55902,4.91,99335,27866,Serum
aish serum korea / serum aish korea / aish serum aish original acne / brightening  darkspot bpom,Aish,299203404,KOTA JAKARTA SELATAN,False,True,119000,55403,4.75,21213,8086,Serum
sergold jaman / serum gold cv jaya mandiri original / hanasui,Hanasui,6044993,KOTA SURAKARTA (SOLO),False,False,14025,55393,4.81,2863,1515,Serum
hanasui serum vit c + collagen  serum anti acne  serum vitamin c  whitening gold  bright serum,Hanasui,744873,KOTA JAKARTA SELATAN,False,True,11900,55123,4.9,80566,6111,Serum
ponds bright beauty serum facial wash 100 g twinpack - sabun muka facial foam,Pond's,14318452,KOTA SEMARANG,True,False,46800,54852,4.93,37456,3288,Serum
garnier sakura white pinkish radiance essence lotion skin care - 120ml,Garnier,62583853,KOTA JAKARTA UTARA,True,False,78600,54796,4.92,33616,22645,Serum
bpom hanasui serum whitening gold / vitamin c + collagen / anti acne / men 20ml,Hanasui,44528428,KOTA SERANG,False,True,10920,54577,4.89,31207,1911,Serum
aura bright - glutathione vit c serum,Aura Bright,127215672,KOTA JAKARTA BARAT,True,False,176375,54417,4.89,43156,10325,Serum
wardah  lightening serum ampoule 8ml - lightening facial serum 5 ml,Wardah,9177521,KAB. BEKASI,False,True,8900,54086,4.86,8111,7818,Serum
scarlett romansa freshy charming body lotion lulur body scrub facial wash serum cream acne bright,Scarlett,93973610,KOTA MEDAN,False,False,55000,53800,4.92,3459,651,Serum
scarlett whitening acne / brightly ever after serum 15ml / cream day / night 20gr,Scarlett,9664631,KOTA JAKARTA SELATAN,False,True,55000,53410,4.91,24978,9850,Serum
hanasui anti acne serum  / serum gold whitenging / vitamin c serum / vitamin c + collagen 20 ml,Hanasui,1644944,KOTA SURABAYA,False,True,11900,53280,4.87,25323,4297,Serum
nutrishe - nutrilash eyelash & brow serum,Nutrishe,593789,KAB. SLEMAN,True,False,85000,53205,4.81,46260,33697,Serum
nutrishe - nutrilash eyelash & brow serum,Nutrishe,593789,KAB. SLEMAN,True,False,85000,53205,4.81,46260,33697,Serum
new pack !!! serum glowing original 10ml,Others,34610072,KOTA JAKARTA BARAT,False,False,13080,53137,4.77,57066,8992,Serum
dove dry serum regenerate care 50 ml - cream pencerah ketiak deodorant serum,Dove,14318452,KOTA BEKASI,True,False,20500,52600,4.94,58684,12715,Serum
dove dry serum regenerate care 50 ml - cream pencerah ketiak deodorant serum,Dove,14318452,KOTA BEKASI,True,False,20500,52600,4.94,58684,12715,Serum
garnier light complete vitamin c 30x booster serum skin care - 30 ml x 2 pcs  cerahkan noda hitam ,Garnier,62583853,KOTA JAKARTA UTARA,True,False,193700,52593,4.92,94477,10829,Serum
aish serum korea - original 100% bpom brightening  acne  darkspot,Aish,164600279,KOTA JAKARTA UTARA,False,False,119000,52216,4.75,25830,7867,Serum
serum collagen vit e 30ml hologram emas bersegel,Others,5139506,KOTA MEDAN,False,False,18500,51562,4.87,7119,982,Serum
garnier light complete serum and day cream package - untuk kulit cerah cepat,Garnier,62583853,KOTA JAKARTA UTARA,True,False,151700,51039,4.9,50391,15037,Serum
garnier sakura white serum day cream spf30/pa+++ skin care - 50 ml untuk kulit cerah merona,Garnier,62583853,KOTA JAKARTA UTARA,True,False,59100,50994,4.9,34350,18731,Serum
hanasui serum vit c + collagen bpom,Hanasui,8250427,KOTA JAKARTA BARAT,False,True,13100,49777,4.83,219,2457,Serum
free bonus scarlett scarlet whitening - sabun lulur scrub shampo lotion serum cream facial wash,Scarlett,117070281,KOTA JAKARTA UTARA,False,True,12500,49015,4.85,26680,14323,Serum
bpom nacific phyto niacin whitening essense,Nacific,1009032,KOTA TANGERANG SELATAN,False,True,139900,48179,4.9,2130,25991,Serum
❤ belia ❤ wardah lightening series  day  night cream face serum wash foam mask scrub toner milk,Wardah,48382819,KOTA SURABAYA,False,True,12800,47289,4.92,95868,6002,Serum
hanasui serum vitamin c + collagen,Hanasui,129681299,KAB. TANGERANG,True,False,16500,47080,4.86,28870,9914,Serum
✨lacikosme✨ hanasui jaya mandiri serum whitening gold bpom / serum emas collagen,Hanasui,2116976,KOTA SURABAYA,False,False,13800,46057,4.86,4084,1367,Serum
scarlett whitening serum cream ready paket scarlet whitening original lulur bodylotion scrub felicya,Scarlett,137676716,KOTA SURABAYA,False,True,55000,46039,4.85,40809,10588,Serum
azarine lightening serum 20 ml c white,Azarine,80036545,KAB. SIDOARJO,True,False,49875,45881,4.84,106423,19798,Serum
scarlett whitening / serum / cream day / cream night,Scarlett,1644944,KOTA SURABAYA,False,True,55000,45236,4.91,45901,7827,Serum
garnier  serum mask masker wajah all varian exp 2023 #44shoppesuperseller,Garnier,23591690,KAB. TANGERANG,False,True,8900,45224,4.9,25657,7203,Serum
✨ aku murah ✨hanasui serum vitamin c + collagen jaya mandiri / bpom na18161900405,Hanasui,136341375,KOTA JAKARTA BARAT,False,True,12500,45179,4.88,3916,2109,Serum
loreal paris revitalift crystal micro essence water serum skin care - 65 ml,L'Oreal Paris,62579622,KOTA JAKARTA UTARA,True,False,148000,45137,4.9,38223,41548,Serum
breylee varian step 1 blackhead mask peel off & step 2 pore serum,Others,8901630,KOTA JAKARTA PUSAT,False,True,25000,44721,4.81,196001,14507,Serum
serum collagen vitamin c 30% kulit wajah kenyal cerah putih ori bpom krim farma cream dokter farmasi,Byout By Nisa,44308798,KOTA JAKARTA SELATAN,False,True,35481,44279,4.92,17119,5658,Serum
garnier sakura white hyaluron 30x booster serum skin care-30 ml x 2 pcs kulit glowing dalam 7 hari,Garnier,62583853,KOTA JAKARTA UTARA,True,False,193800,43472,4.92,47143,9199,Serum
aish serum korea original 100%  aish acne  brightening darkspot aish serum original 100% bpom,Aish,174140461,KOTA JAKARTA SELATAN,False,False,119000,43168,4.69,10868,7911,Serum
natura beauty spray/naturaworld 100% ori,Others,61061653,KOTA JAKARTA SELATAN,False,False,29900,42216,4.84,5954,6316,Serum
wardah white secret intense brightening essence 17 ml,Wardah,59763733,KOTA JAKARTA SELATAN,True,False,83000,42203,4.91,40821,16751,Serum
serum hanasui anti acne dus pink bpom,Hanasui,8314620,KOTA SURABAYA,False,True,12700,41718,4.84,4912,1956,Serum
✨ aku murah ✨hanasui serum vitamin c / hanasui / dus kuning,Hanasui,136341375,KOTA JAKARTA BARAT,False,True,11500,41640,4.87,5640,4912,Serum
serum gold,Hanasui,719053,KOTA BEKASI,False,True,15000,41478,4.85,5529,1347,Serum
serum hanasui jaya mandiri all varian,Hanasui,27496158,KOTA JAKARTA BARAT,False,False,12500,41109,4.8,507,3678,Serum
scarlett serum wajah original,Scarlett,3948077,KOTA MEDAN,False,False,55000,41052,4.89,10932,2517,Serum
azarine aha bha miraclear herbal peeling serum 20ml,Azarine,80036545,KAB. SIDOARJO,True,False,28025,40610,4.84,85780,21817,Serum
somethinc 10% niacinamide + moisture sabi beet max brightening serum,Somethinc,195455930,KOTA JAKARTA BARAT,True,False,115500,40022,4.93,229864,18466,Serum
oilash serum - oilash serum bulu mata dan alis,Oilash,170921164,KAB. TUBAN,False,False,6650,39713,4.81,3762,1544,Serum
hanasui serum 20ml whitening gold - anti acne - vitamin c - vit c dan collagen,Hanasui,139658883,KAB. KARANGANYAR,False,True,12100,39242,4.86,25618,1524,Serum
hanasui serum 20ml whitening gold - anti acne - vitamin c - vit c dan collagen,Hanasui,139658883,KAB. KARANGANYAR,False,True,12100,39242,4.86,25618,1524,Serum
red jelly glow serum by syb forte /serum jelly merah bpom,Others,6080165,KOTA JAKARTA PUSAT,False,True,13750,39096,4.85,24023,5247,Serum
scarlett whitening acne serum  scarlet whitening brightly ever after serum,Scarlett,6080165,KOTA JAKARTA PUSAT,False,True,52000,38964,4.88,84894,3410,Serum
yu chun mei cordyceps serum import,Cordyceps,5610674,KOTA MEDAN,False,False,32500,38769,4.91,3413,963,Serum
hanasui serum original,Hanasui,8250427,KOTA JAKARTA BARAT,False,True,12000,38368,4.84,913,978,Serum
serum hanasui vit c dan collagen dus biru,Hanasui,8314620,KOTA SURABAYA,False,True,12700,38313,4.84,1988,1325,Serum
ready stock lippie serum raecca  raecca lippie  serum jelly  lip serum by raecca original 100 %,Raecca Beauty Care,258368487,KOTA JAKARTA TIMUR,False,False,49000,38180,4.81,8498,639,Serum
serum luminous ms glow / serum lifthing ms glow / serum gold ms glow / serum acne ms glow,MS Glow,33816284,KAB. SIDOARJO,False,False,60000,37791,4.79,51727,3518,Serum
cm ✨ scarlett whitening body lotion shower body scrub serum facial wash cream shampo conditioner,Scarlett,4923980,KOTA BOGOR,False,True,55000,37788,4.87,28453,8912,Serum
serum vitamin c colagen biru bpom hanasui jaya mandiri / original,Hanasui,29636199,KOTA TANGERANG,False,True,14216,37485,4.84,1154,2630,Serum
scarlett whitening brightly ever after serum - serum pencerah scarlett,Scarlett,3774076,KOTA SURABAYA,False,True,55000,37232,4.89,18185,4990,Serum
vaseline healthy bright vitamin gel serum fresh glow 180ml,Others,14318452,KOTA BEKASI,True,False,25900,37229,4.92,57542,12864,Serum
silkoro serum rambut 80ml kecil,Silkoro,292613367,KOTA SURABAYA,False,False,15400,37175,4.91,12785,1659,Serum
pink serum anti acne hanasui original bpom by jaya mandiri,Hanasui,19847215,KOTA JAKARTA UTARA,False,False,12700,36761,4.84,1691,2574,Serum
aish serum korea original 100% aish acne  brightening darkspot aish serum original 100% bpom,Others,271469460,KOTA JAKARTA BARAT,False,True,119000,36462,4.75,16898,6764,Serum
hanasui serum anti acne / serum anti acne hanasui bpom,Hanasui,3948077,KOTA MEDAN,False,False,12200,36172,4.88,4537,775,Serum
garnier sakura white hyaluron 30x booster serum skin care - 30 ml untuk kulit glowing dalam 7 hari,Garnier,62583853,KOTA JAKARTA UTARA,True,False,109700,35990,4.87,44652,23943,Serum
somethinc niacinamide + moisture beet serum 20 ml,Somethinc,68111,KOTA TANGERANG,True,False,115500,35973,4.91,18403,28175,Serum
oliveshop ❤ masker wajah gàrnîer serum facial sheet mask,Others,11027706,KAB. TEMANGGUNG,False,True,8999,35824,4.93,5425,3842,Serum
ponds flawless brightening night cream 10g,Pond's,14318452,KOTA BEKASI,True,False,25100,35797,4.9,7165,7616,Serum
garnier sakura white serum night cream moisturizer skin care - 50 ml untuk wajah cerah & merona,Garnier,62583853,KOTA JAKARTA UTARA,True,False,73500,35512,4.91,24077,14141,Serum
pink serum anti acne hanasui original bpom,Hanasui,5139506,KOTA MEDAN,False,False,11900,35366,4.85,7902,875,Serum
breylee step 1 blackhead remover mask & step 2 pore serum,Breylee,115599224,KOTA JAKARTA BARAT,False,False,24000,35284,4.86,135491,8139,Serum
garnier sakura white pinkish radiance serum milk uv body lotion skin care - 400 ml,Garnier,62583853,KOTA JAKARTA UTARA,True,False,55800,35124,4.9,29037,21287,Serum
tamanu oil 5ml by falabelle bpom,Falabelle,81418319,KOTA DEPOK,False,True,31500,34626,4.82,4719,11543,Serum
scarlett whitening brightly ever after serum cream day night  scarlet whitening acne serum,Scarlett,744873,KOTA JAKARTA SELATAN,False,True,55000,34588,4.91,47914,4511,Serum
scarlett whitening brightly ever after serum cream day night  scarlet whitening acne serum,Scarlett,744873,KOTA JAKARTA SELATAN,False,True,55000,34588,4.91,47914,4511,Serum
oilash lash & brow serum bulu mata dan alis,Others,62126146,KAB. KEDIRI,False,False,8000,34447,4.77,21373,4270,Serum
somethinc niacinamide og + moisture beet serum,Somethinc,195455930,KOTA JAKARTA BARAT,True,False,115500,33681,4.92,84285,44884,Serum
garnier light complete white speed serum day cream extra spf 36/pa+++ skin care - 50 ml,Garnier,62583853,KOTA JAKARTA UTARA,True,False,59500,33518,4.9,30223,14104,Serum
make over hydration serum 33 ml,Make Over,63984475,KOTA JAKARTA SELATAN,True,False,78000,33452,4.92,37293,30245,Serum
serum farma original / serum wajah / serum whitening,Farma Skincare,2392247,KOTA BANDUNG,False,False,10000,33328,4.84,881,1230,Serum
serum whitening gold hanasui bpom original,Hanasui,5139506,KOTA MEDAN,False,False,12800,33312,4.87,5079,610,Serum
safi age defy concentrated serum 20ml,Safi,63823668,KOTA JAKARTA UTARA,True,False,97300,32608,4.9,0,9546,Serum
lacoco en nature dark spot essence original serum anti flek hitam n bekas jerawat bopeng bergaransi,Others,51003723,KAB. CIAMIS,False,False,199900,32331,4.86,8534,3432,Serum
bio beauty lab 10ml luxurious facial oil serum,Others,127156054,KOTA JAKARTA BARAT,True,False,171600,32297,4.94,41525,18350,Serum
everwhite brightening essence serum,Everwhite,85451896,KOTA JAKARTA UTARA,True,False,125000,32254,4.87,38847,25851,Serum
serum luminous ms glow original,MS Glow,177652405,KOTA SURABAYA,False,False,61000,31954,4.81,30777,2612,Serum
breylee step 2 serum wajah pengecil pori-pori skin care pemurnian pore serum 17ml,Others,252633829,Luar Negeri,False,False,29130,31870,4.78,4370,15599,Serum
biru serum vit c collagen hanasui bpom jaya mandiri,Hanasui,19847215,KOTA JAKARTA UTARA,False,False,12700,31807,4.8,907,2329,Serum
somethinc bakuchiol skinpair oil serum 20ml,Somethinc,195455930,KOTA JAKARTA BARAT,True,False,89000,31700,4.91,209326,26761,Serum
raecca lippie serum official store,Others,41005244,KOTA BANDUNG,True,False,44100,31654,4.89,51028,25039,Serum
scarlett whitening serum acne & brightly ever after scarlet original bpom by felicya angelista,Scarlett,138914885,KOTA JAKARTA BARAT,False,True,55000,31558,4.86,133582,4082,Serum
【bpom】breylee step 2 serum wajah pengecil pori-pori skincare 17ml,BREYLEE,165025928,Luar Negeri,False,True,45001,31354,4.78,27435,22023,Serum
serum scarlett whitening acne brightly,Scarlett,41269818,KAB. SEMARANG,False,True,51000,31324,4.87,5378,601,Serum
bisa cod !! aish serum korea brightening  acne  darkspot  aish original 100% bpom,Aish,271469460,KOTA JAKARTA BARAT,False,True,119000,31148,4.77,6760,5114,Serum
tamanu oil bpom 30ml oil bopeng & bekas jerawat,Others,81418319,KOTA DEPOK,False,True,99000,30981,4.81,7677,18527,Serum
tamanu oil bpom 30ml oil bopeng & bekas jerawat,Others,81418319,KOTA DEPOK,False,True,99000,30981,4.81,7677,18527,Serum
bisa cod!! aish serum korea brightening / darkspot / acne  aish serum aish original 100% bpom,Aish,259605172,KOTA JAKARTA TIMUR,False,True,119000,30965,4.84,11179,725,Serum
naufa royal richy - serum penyubur rambut anak penumbuh rambut sehat lebat berkilau minyak kemiri,Others,128262419,KOTA JAKARTA TIMUR,False,True,120000,30881,4.82,5369,4148,Serum
ponds age miracle retinol night cream youthful glow 50 g - moisturizer anti aging anti aging cream,Pond's,14318452,KOTA BEKASI,True,False,119500,30860,4.94,13980,5677,Serum
aish serum korea original acne  brightening  darskpot  serum aish,Aish,136712015,KOTA JAKARTA PUSAT,False,True,119000,30825,4.82,3865,1833,Serum
hanasui serum anti acne bpom jaya mandiri,Hanasui,3774076,KOTA SURABAYA,False,True,12800,30771,4.89,5355,1417,Serum
bisa cod  aish brightening  acne  darkspot aish serum korea - 100% original bpom,Aish,150235777,KOTA BEKASI,False,True,119000,30345,4.79,12532,3415,Serum
matrix biolage deep smoothing serum 100ml,Matrix,115531426,KOTA JAKARTA UTARA,True,False,78300,30326,4.91,75008,16448,Serum
bisa cod! aish serum korea  serum aish korea original acne brightening darkspot 100% bpom,Aish,259605172,KOTA JAKARTA TIMUR,False,True,119000,30317,4.63,12569,4218,Serum
best seller blemish serum vavl,Others,67721098,KOTA SURABAYA,False,False,105000,30042,4.85,39757,14205,Serum
hanasui serum gold serum whitening gold bpom jaya mandiri 20ml,Hanasui,9177521,KAB. BEKASI,False,True,14500,29888,4.85,552,1836,Serum
avoskin miraculous retinol ampoule,Avoskin,154494405,KAB. SLEMAN,True,False,249000,29575,4.9,94235,19014,Serum
avoskin miraculous retinol ampoule,Avoskin,154494405,KAB. SLEMAN,True,False,249000,29575,4.9,94235,19014,Serum
scarlett whitening serum ready paket series scarlet cream original body lotion lulur scrub felicya,Scarlett,159288014,KAB. SLEMAN,False,True,55000,29511,4.88,36716,7001,Serum
lightening night cream fp bpom  best cream for spot - krim malam flek faila putri,Others,4398725,KAB. GRESIK,False,True,69053,29494,4.84,1401,2162,Serum
l’oreal paris aura perfect clinical essence vit c serum / niacinamide skin care – 30 ml,L'Oreal Paris,62579622,KOTA JAKARTA UTARA,True,False,180800,29480,4.92,36417,21932,Serum
❤ belia ❤ wardah lightening facial serum @5ml  jual ecer per ampul,Wardah,48382819,KOTA SURABAYA,False,True,8900,29477,4.88,33034,3002,Serum
serum anti acne pink bpom hanasui jaya mandiri / original,Hanasui,29636199,KOTA TANGERANG,False,True,14216,29435,4.84,3074,2601,Serum
collagen serum sedayu essence 30ml,Others,5610674,KOTA MEDAN,False,False,18300,29367,4.9,1604,301,Serum
fair & lovely multivitamin serum sheet mask / masker wajah 20g,Fair & Lovely,14318452,KOTA BEKASI,True,False,8200,28980,4.92,39885,6324,Serum
bpom hanasui serum anti acne  vit c  whitening gold  vit c+collagen  propolis  bright  rich,Hanasui,6692888,KOTA JAKARTA BARAT,False,True,11550,28954,4.88,12890,1050,Serum
ponds bright beauty serum facial wash 50 g - sabun muka facial foam sabun cuci muka,Pond's,14318452,KOTA BEKASI,True,False,17400,28709,4.9,17301,4594,Serum
saniye gel alis cair fixer & eyelash fixer transparan tahan lama eyebrow gel transparent/maskara bening/maskara transparan/transparent mascara/serum bulu mata m310,Saniye,187093145,Luar Negeri,False,True,16261,28631,4.79,22677,15609,Serum
serum scarlett whitening / scarlett whitening serum,Scarlett,44016624,KOTA BANDAR LAMPUNG,False,False,55000,28574,4.89,20585,1823,Serum
breylee blackhead set - pembersih komedo & pengecil pori-pori 2pcs,Breylee,324706771,KOTA JAKARTA PUSAT,True,False,104800,28397,4.87,75519,14070,Serum
silkoro vitamin rambut / serum rambut kecil,Silkoro,3948077,KOTA MEDAN,False,False,15680,28325,4.85,1417,1577,Serum
serum hanasui vit c dan vit e dus kuning bpom,Hanasui,8314620,KOTA SURABAYA,False,True,11800,28212,4.84,6144,2663,Serum
