nama_product,brand,shop_id,shop_city,isOfficial,isVerified,price,terjualCount,ratingAverage,viewCount,likedCount,jenis
bpom pyunkang yul essence toner,Pyunkang Yul,920406,KOTA JAKARTA BARAT,FALSE,TRUE,35000,25997,4.9,81905,19572,Essence
ponds age miracle serum wajah retinol youthful glow 30 ml - anti aging serum anti wrinkle,Pond's,14318452,KOTA BEKASI,TRUE,FALSE,143900,25994,4.93,22638,6594,Essence
avoskin perfect hydrating treatment essence 30ml - travel size,Avoskin,154494405,KAB. SLEMAN,TRUE,FALSE,139000,25747,4.9,97815,16233,Essence
avoskin perfect hydrating treatment essence 30ml - travel size,Avoskin,154494405,KAB. SLEMAN,TRUE,FALSE,139000,25747,4.9,97815,16233,Essence
❤ belia ❤ wardah uv shield aqua fresh essence  active protection serum  spf 50 pa++++ sunscreen,Wardah,48382819,KOTA SURABAYA,FALSE,TRUE,28100,25315,4.92,176201,12551,Essence
loreal paris revitalift serum radiance booster kit untuk kulit lembap dan glowing,L'Oreal Paris,62579622,KOTA JAKARTA UTARA,TRUE,FALSE,348700,25046,4.93,99771,10786,Essence
rinso molto perfume essence 770 g - perlindungan dari bakteri,Others,14318452,KOTA BEKASI,TRUE,FALSE,19100,24658,4.91,10179,2185,Essence
emina bright stuff essence sheet mask 23gr,Emina,39943822,KAB. BOGOR,FALSE,TRUE,10800,24544,4.93,12345,5681,Essence
bpom nacific natural pacific phyto niacin whitening essence 50ml,Nacific,544437,KOTA JAKARTA UTARA,FALSE,FALSE,147300,24236,4.85,325,14262,Essence
loreal paris revitalift crystal micro essence water serum skin care - 130 ml,L'Oreal Paris,62579622,KOTA JAKARTA UTARA,TRUE,FALSE,244800,24135,4.92,40560,21000,Essence
skin aqua sunscreen uv spf 50 - spf 30 - spf 25 - spf 20 moisture milk - gel - tone up uv essence,Skin Aqua,7965656,KAB. SRAGEN,FALSE,TRUE,43560,24038,4.89,29213,9447,Essence
skin1004 madagascar centella ampoule,Skin1004,292859344,Korea Selatan,FALSE,TRUE,241093,23815,4.95,103300,24606,Essence
bpom skin aqua uv sunscreen series 40gr moisture mild whitening milk / gel / tone up uv essence,Skin Aqua,9664631,KOTA JAKARTA SELATAN,FALSE,TRUE,19000,23587,4.93,47844,6336,Essence
avoskin perfect hydrating treatment essence 100ml,Avoskin,154494405,KAB. SLEMAN,TRUE,FALSE,299000,23559,4.94,89500,11173,Essence
avoskin perfect hydrating treatment essence 100ml,Avoskin,154494405,KAB. SLEMAN,TRUE,FALSE,299000,23559,4.94,89500,11173,Essence
❤ belia ❤ safi white expert series  day night cream 25 45g  toner  cleanser  essence oil acne,Safi,48382819,KOTA SURABAYA,FALSE,TRUE,19500,23237,4.91,30971,4276,Essence
❤ belia ❤ safi white expert series  day night cream 25 45g  toner  cleanser  essence oil acne,Safi,48382819,KOTA SURABAYA,FALSE,TRUE,19500,23237,4.91,30971,4276,Essence
mascara esenses mascara evany / eyeliner esenses eyeliner original / maskara evany,Others,28610028,KAB. GRESIK,FALSE,TRUE,16950,23011,4.88,40626,1988,Essence
avoskin phte 30 ml /100ml perfect hydrating treatment essence,Avoskin,4817033,KOTA BEKASI,FALSE,TRUE,139000,22090,4.91,16238,9702,Essence
wardah white secret aha facial wash / essence / exfoliating / day c / night c,Wardah,1644944,KOTA SURABAYA,FALSE,TRUE,20000,20236,4.87,40513,2589,Essence
wardah white secret intense brightening essence 17ml,Wardah,9177521,KAB. BEKASI,FALSE,TRUE,58075,20092,4.91,4885,4846,Essence
bpom pyunkang yul - essence toner 100ml / 200ml,Pyunkang Yul,9664631,KOTA JAKARTA SELATAN,FALSE,TRUE,91800,19950,4.91,51231,13921,Essence
avoskin perfect hydrating treatment essence phte,Avoskin,3999017,KOTA JAKARTA SELATAN,FALSE,TRUE,139000,19768,4.91,8357,9845,Essence
